,title,date,place,price,start_date,end_date,url,description
0,お座敷おどり　2021年　春・夏,2021年4月16日(金)～6月19日(土),浅草文化観光センター6階　多目的スペース,入場無料。,2021-04-16,2021-06-19,https://e-asakusa.jp/culture-experience/67208,浅草芸者による「お座敷おどり」が開催される。入場無料で、浅草芸者のお座敷おどりを鑑賞することができる。現在、日本中で6名だけが活躍している、珍しい幇間芸も鑑賞できる。鑑賞には、WEBページからの事前申し込みが必要。定員各回20名。
1,オフ・ブロードウェイミュージカル「TheLast5Years」（東京公演）,2021年6月28日(月)～7月18日(日),オルタナティブシアター,"有料。8,800円 （全席指定・税込）",2021-06-28,2021-07-18,http://www.last5years.net/index.html,オフ・ブロードウェイミュージカル「The Last 5 Years」が、今夏、小林香の新演出版で上演される。世界中で上演され続け、熱狂的なファンを持つ人気作が豪華キャストで蘇る。出演（3ペア）は、木村達成×村川絵梨／水田航生×昆夏美／平間壮一×花乃まりあ。 ※車イスでの来場者は、予め購入席番をチケットスペースに連絡を。公演の詳細及び新型コロナウイルス感染対策に関する詳細は公式HPを要確認
2,夜能～語り部たちの夜～「杜若」,2021年5月28日(金)・6月25日(金),宝生能楽堂,"有料。プレミアシート：11,000円　A1席：6,600円　A2席：5,500円　B1席：4,950円　B2席：4,400円　C席：4,400円",2021-05-28,2021-06-25,https://nohlife.myshopify.com/pages/%E5%A4%9C%E8%83%BD,朗読と能がセットになった公演「夜能」シリーズ春クールは『伊勢物語』から題材をとった能「杜若」をテーマとし、いとうせいこうが書き下ろした朗読脚本が3か月連続で違う読み手により演じられる。読み手が身にまとうのは本物の能装束で、そこも注目。能「杜若」は、『伊勢物語』の在原業平が詠んだ「杜若」の和歌にまつわる物語。朗読でストーリーを掴んだ後に能を観ることで、より能の世界に没入できる。
3,人形劇団ひとみ座「美女と野獣」,2021年6月19日(土)～27日(日),人形劇団ひとみ座　第1スタジオ,"有料。料金：一般1,900円、子ども1,500円　ひとみ座倶楽部会員：一般1,700円、子ども1,300円　団体（10名以上）：1,000円　※4歳以上有料",2021-06-19,2021-06-27,http://hitomiza.com/news/000490.html,魔法の森で旅の商人パナールは、野獣が住むと言われる館の庭に迷い込み、娘のベルのためにバラを一輪手折る。そこへ館の主である野獣ベトウが現れた。ベトウは醜く恐ろしい野獣だった。「バラを盗ったな。だがおまえの命は助けてやろう。その代わり、そのバラと引き替えにベルという娘をこの&lt;バラの館&gt;にひとりで来させるのだ」。そしてベルは、魔法のマントに導かれ、ひとりバラの館にたどり着くのだが…。
4,新国立劇場演劇「キネマの天地」,2021年6月10日(木)～27日(日),新国立劇場小劇場,"有料。A席：大人7,700円　B席：大人3,300円（税込）",2021-06-10,2021-06-27,https://www.nntt.jac.go.jp/play/kinema/,シリーズ「人を思うちから」の掉尾を飾るのは、映画『キネマの天地』（1986年公開）の続編として、井上ひさしが書き下ろした舞台作品。映画出演のために集められた4人の女優が巻き込まれる殺人事件と、犯人探しの推理喜劇。どこまでが真実でどこからが虚構なのか…。笑いをあちこちに散りばめながら、人間を魅了してやまない「舞台」の世界を描く。7名の実力派俳優たちによる演劇賛歌の物語に乞うご期待！
5,VividOperaTokyo第6回公演「アルジェのイタリア女」,2021年6月29日(火),渋谷区総合文化センター大和田6階　伝承ホール,"有料。チケット：一般5,000円　会員4,000円（全席自由・税込）※全て電子チケット。ビビフレ会員はチケット1,000円割引",2021-06-29,2021-06-29,https://vividoperatokyo.com/,笑いの渦を生み出す新進気鋭のオペラ制作団体、「Vivid Opera Tokyo」の第6回となる今公演では、イタリア・ヴェネツィアで誕生した『アルジェのイタリア女』を200年以上の時を超え、ここ東京・渋谷に蘇らせる。今回の見どころは、イタリア語歌唱に加えた、書き下ろしの日本語脚本。これは芸術か、エンタメか？ 一夜限りの伝説級オペラ公演が、渋谷で実現することになりそうだ。
6,劇団銅鑼公演「いのちの花」,2021年7月13日(火)～15日(木),練馬文化センター　小ホール,"有料。チケット代：一般4,500円、30歳以下3,150円、高校生2,000円、小・中学校1,000円、障害者で付添が必要な人は付添1名招待",2021-07-13,2021-07-15,http://www.gekidandora.com,聴覚障害者のための舞台手話通訳、タブレット字幕、視覚障害者のための音声ガイドのサービスが実施される演劇公演。ペットの命、家畜の命、人間の命…「いのち」ってなんだろう？ この難しいテーマを高校生たちが考え続け起こした行動は、多くの人に波紋を投げかけた。実話を元に舞台化、疾走する5人の女子高校生の物語は2017年初演以来、全国で100ステージ以上上演。話題作の上演だ。
7,OSK日本歌劇団「レビュー夏のおどり」STARt（東京）,2021年8月5日(木)～8日(日),新橋演舞場,"有料。S席（1･2階）：9,500円／A席（3階）：5,000円",2021-08-05,2021-08-08,http://www.osk-revue.com/,新トップスター楊琳のお披露目公演。2019年『STORM of APPLAUSE』で作・演出・振付を手がけ、公表を博した平澤智が『STARt』をテーマに迫力満載の洋舞レビュー。群舞を得意とする劇団員が見せるラインダンスや、オールドミュージカルメドレー、爽快で軽やかになるコメディーショウなど、ダンスシーンの連続に心打たれるステージを堪能しよう。
8,未練の幽霊と怪物,2021年6月5日(土)～26日(土),KAAT神奈川芸術劇場　大スタジオ,"有料。一般：6,800円   U24チケット（24歳以下）：3,400円   高校生以下割引：1,000円   シルバー割引（満65歳以上）：6,300円",2021-06-05,2021-06-26,https://www.kaat.jp/d/miren2021,ザハ・ハディドをシテに描く『挫波（ザハ）』／高速増殖炉「もんじゅ」をめぐる『敦賀（つるが）』現代演劇の言葉と身体、空間がおりなす可能性を開拓し、国際的に活躍する劇作家・演出家の岡田利規（チェルフィッチュ主宰）が、現存する世界最古の舞台芸術「能」に触発された音楽劇を上演する。
9,にじゅうまるシアター『よみしばい注文の多い料理店』,2021年6月26日(土),くにたち市民芸術小ホール,"有料。おとな1,000円　こども（3歳から中学生）500円　3歳未満無料",2021-06-26,2021-06-26,https://kuzaidan.or.jp/hall/?p=6559,劇場でおしばいをみると、何かと出会えたり、いろんな人といっしょに過ごせたり、人と人、人と物語が◎の円のように広がっていく体験ができる。いつもの生活からちょっと離れて、新鮮な風があなたの中を通り過ぎるひとときを過ごしてみてはいかが？ 今回は宮沢賢治の風が「どうー」と吹く。4月27日（火）チケット発売。
